File,Review date,Source string
Post_op_care/Anticoagulation antiplatelet agents and epidural analgesia.pdf,2019-09-18,"date of authorisation: 27 sep 2013                                                       review date: sep 2019 date added to intranet: | date of authorisation: 27 sep 2013                                                       review date: sep 2019 date added to intranet: | date of authorisation: 27 sep 2013                                                       review date: sep 2019 date added to intranet: | date of authorisation: 27 sep 2013                                                                                 review date: sep 2015 date added to intranet: key words: pain, neuraxial, spinal, epidural, anti- coagulant, thrombolytic, anti-platelet | date of authorisation: 27 sep 2013                                                                                 review date: sep 2015 date added to intranet: key words: pain, neuraxial, spinal, epidural, anti- coagulant, thrombolytic, anti-platelet | date of authorisation: 27 sep 2013                                                       review date: sep 2019 date added to intranet: | date of authorisation: 27 sep 2013                                                       review date: sep 2019 date added to intranet: | date of authorisation: 27 sep 2013                                                       review date: sep 2019 date added to intranet: | date of authorisation: 27 sep 2013                                                                                 review date: sep 2015 date added to intranet: key words: pain, neuraxial, spinal, epidural, anti- coagulant, thrombolytic, anti-platelet | date of authorisation: 27 sep 2013                                                                                 review date: sep 2015 date added to intranet: key words: pain, neuraxial, spinal, epidural, anti- coagulant, thrombolytic, anti-platelet"
Post_op_care/Epidural top-up.pdf,2020-01-18,for review by jan 2020  guideline on epidural top-ups in patients receiving  epidural infusions in hdu/itu after abdominal* or lower limb surgery
Airway/Emergency intubation checklist_em_pub.pdf,2020-03-18,review date: march 2020 preparation 1 2 3 4 | review date: march 2020 preparation 1 2 3 4
Covid-19/SJH/SJH COVID19 ED Intubation Action Card.pdf,2020-03-18,"adapted	from	rie	critical	care	covid-19	/	suspected	covid-19	intubation	action	card,	march	2020	 sjh critical care guidelines  suspected covid-19 ed intubation action card  before:   1. plan your exit strategy. if the patient cannot be transferred through to itu for intubation then ensure measures are being put in place to free up space to transfer them soon after intubation.   2. your ppe remains the priority. prior to entering the room, review the ppe video for both donning and doffing. empty pockets before donning. stop and buddy check ppe.   3. use of hfno/niv prior to intubation should be discouraged and the decision to intubate or not should be made as early as possible when the patient is on a low flow device.   4. rsi technique should be used and performed by the most experienced icu member available.   recommended personnel:    in room (1) critical care/anaesthetic consultant (2) odp (3) ed staff nurse (familiar with environment and kit) -  plus outside room (4) ed staff nurse (runner) – familiar with environment and equipment to act as runner if required. also needs to be in ppe.  5. leave the intubation trolley outside the room with the runner. using  covid intubation checklist , identify all equipment required for plan a to c prior to entering the room. identify plan for getting plan d (surgical airway – scalpel + bvm) into room if needed.   6. ensure you pre assemble c-circuit, capnography then then mask prior to entering room. ensure all suction equipment is available in the room.  during:   7. apply ppe and use buddy checks to ensure it is applied properly. enter room with intubation equipment.   8. use covid icu intubation checklist (laminated copy). ensure 5 minutes pre-oxygenation.   9. aim to perform rsi with first attempt, best attempt approach.  use mcgrath vl + bougie and oxford help pillow if trained.   10. pre-intubation avoid bagging if possible; use 2-handed mask grip   11. following intubation, only bag once cuff inflated with system outlined in point 6.   12. currently, we recommend manual ventilation via c-circuit for transferring the patient round to itu/definitive destination rather than contaminating the oxylog transport ventilator.  after:  13. continue to wear ppe once airway secured.  adapted	from	rie	critical	care	covid-19	/	suspected	covid-19	intubation	action	card,	march	2020	 14. clean reusable equipment such as mcgrath and oxford help using standard decomtamination approach.   15. all other single use equipment and drugs should be disposed of as per hps guidance.   16. remember your ppe remains the priority. intubation team to use buddy system to doff ppe once patient has been transferred through to itu. ."
Covid-19/SJH/SJH COVID19 ITU Intubation Action Card.pdf,2020-03-18,"adapted	from	rie	critical	care	covid-19	/	suspected	covid-19	intubation	action	card,	march	2020	 sjh critical care guidelines  suspected covid-19 itu intubation action card  before:  1. the patient will be nursed in a negative pressure room.   2. your ppe remains the priority. prior to entering the room, review the ppe video for both donning and doffing. empty pockets before donning. stop and buddy check ppe.   3. use of hfno/niv prior to intubation should be discouraged and the decision to intubate or not should be made as early as possible when the patient is on a low flow device.   4. rsi technique should be used and performed by the most experienced icu member available.   recommended personnel:    in room (1) critical care/anaesthetic consultant (2) odp (3) itu staff nurse  plus outside room (4) itu staff nurse (runner) – familiar with environment and equipment to act as runner if required. also needs to be in ppe.  5. leave the intubation trolley outside the room with the runner. using  covid intubation checklist , identify all equipment required for plan a to c prior to entering the room. identify plan for getting plan d (surgical airway – scalpel + bvm) into room if needed.   6. ensure you pre assemble c-circuit, capnography then hme then mask prior to entering room. ensure closed-circuit suction is taken into the room (for use once patient intubated)  during:  7. apply ppe and use buddy checks to ensure it is applied properly. enter room with intubation equipment.   8. use covid icu intubation checklist (laminated copy). ensure 5 minutes pre-oxygenation.   9. aim to perform rsi with first attempt, best attempt approach.  use mcgrath vl + bougie and oxford help pillow if trained.   11. pre-intubation avoid bagging if possible; use 2-handed mask grip   12. following intubation, only bag once cuff inflated with system outlined in point 6.   13. once satisfactory placement is confirmed (waveform etco2; auscultation), next step is to move the patient onto the itu ventilator.  clamp tube; attach closed-circuit suction; attach ventilator tubing; remove clamp.   after:  14. continue to wear ppe once airway secured.   15. clean reusable equipment such as mcgrath and oxford help using standard decomtamination approach.  adapted	from	rie	critical	care	covid-19	/	suspected	covid-19	intubation	action	card,	march	2020	 16. all other single use equipment and drugs should be disposed of as per hps guidance.   18. remember your ppe remains the priority. intubation team to use buddy system to doff ppe. ."
Drugs/heparin for Haemofiltration.pdf,2020-03-18,status draft/final: final review date: march 2020 authoriser;   lothian critical care | status draft/final: final review date: march 2020 authoriser;   lothian critical care
Diabetes_and_Glucose/Hyperosmolar Hyperglycaemic State.pdf,2020-03-18,"guidance document prepared by a. anderson, r. gifford, s. ritchie march 2017, review date march 2020 in accordance with guidelines as set out by jbds the management  of the hyperosmolar   hyperglycaemic state | guidance document prepared by a. anderson, r. gifford, s. ritchie march 2017, review date march 2020 in accordance with guidelines as set out by jbds the management  of the hyperosmolar   hyperglycaemic state"
Covid-19/WGH/CoVid intubation checklist WGH.pdf,2020-03-18,review date: march 2020 preparation1 2 3 4 | review date: march 2020 preparation1 2 3 4
Drugs/fentanyl.pdf,2020-04-18,status draft/final: final  review date: april 2020 authoriser: qit editorial group  authorisation date: april 2020 | status draft/final: final  review date: april 2020 authoriser: qit editorial group  authorisation date: april 2020
Airway/Tracheostomy_Laryngectomy/Tracheostomy guideline.pdf,2020-05-18,"status draft/final: final  approved by : qit editorial group,  next review :  may 2020  | status draft/final: final  approved by : qit editorial group,  next review :  may 2020 "
Covid-19/WGH/WGH_CT_Transfer_May.pdf,2020-07-18,reviewed on: next review :  july 2020 . | reviewed on: next review :  july 2020 .
Cardiovascular/GJNH Acute Heart Failure Referral Form.pdf,2020-08-18,reviewed on:11.09.18  next review :  august 2020  | reviewed on:11.09.18  next review :  august 2020 
Organ_donation/Donation after circulatory death.pdf,2020-11-18,for review november 2020 
Airway/Percutaneous tracheostomy checklist.pdf,2021-02-18,review date: feb 2021 preparation 1 2 3 4 | review date: feb 2021 preparation 1 2 3 4
Delirium/Risk assessment posi mit.pdf,2021-05-18,next review:  may 2021 
Infection_and_sepsis/SOP Ultrasound Cleaning.pdf,2021-05-18,version authorisation review date authors final  1st may 2021 dr michael gillies | version authorisation review date authors final  1st may 2021 dr michael gillies
Drugs/ketamine_in_asthma.pdf,2021-06-18,status draft/final: final review date: june 2021 authoriser: qit editorial board authorisation date: june 2019 | status draft/final: final review date: june 2021 authoriser: qit editorial board authorisation date: june 2019
GI_Liver_and_Transplant/Abdominal pressure measurement.pdf,2021-06-18,"reviewed: march 2009, nov 2012 , 2019 review date: june 2021  do not bend needle insert straight into | reviewed: march 2009, nov 2012 , 2019 review date: june 2021  do not bend needle insert straight into"
Airway/McGrath Mac.pdf,2021-06-18,"status draft/final: final  review date: june  2021 authoriser: qit, late date authorisation: june  2019 | status draft/final: final  review date: june  2021 authoriser: qit, late date authorisation: june  2019"
Airway/Anticipated difficult airway tool.pdf,2021-06-18,reviewed on:  june 2019  next review :  june 2021 . | reviewed on:  june 2019  next review :  june 2021 .
GI_Liver_and_Transplant/Treatment of constipation.pdf,2021-06-18,reviewed on:  next review :  june 2021 . | 3. review appropriateness of laxative if there are s igns or symptoms of obstruction. pr within 24 hours of admission | prokinetics. review further . discontinue senna & lactulose & start macrogol 3350 one sachet 3x daily | reviewed on:  next review :  june 2021 .
Neurological/Sub arachnoid haemorrhage management.pdf,2021-06-18,"reviewed on:  next review :  june 2021 critical care guidelines for critical care use only | reviewed on:  next review :  june 2021 critical care guidelines for critical care use only | diagnosis requires urgent ct scanning and neurosurg ical review for consideration of csf drainage • if csf drainage device in-situ (evd-external ventr icular drain/vad-ventricular access device), level |  diagnosis requires urgent ct scanning and neurosur gical review for consideration of icp monitoring. management of raised icp aiming for an icp of ≤ 30 mmhg with use of hyperosmolar therapy (icp targ ets"
Airway/Tracheostomy_Laryngectomy/Tracheostomy safety box contents.pdf,2021-06-18,status draft/fin al: draft review date: june 2021 authoriser: qit date authorisation: | status draft/fin al: draft review date: june 2021 authoriser: qit date authorisation:
Delirium/Drugs Causing Delirium and Agitiation.pdf,2021-06-18,next review :  june 2021 drugs causing delirium and agitation in critical ca re | next review :  june 2021 drugs causing delirium and agitation in critical ca re
Breathing(Respiratory)/HFNO.pdf,2021-06-18,status draft/final: final  review date: jun 2021 authoriser: qit date authorisation: jul 2015 | status draft/final: final  review date: jun 2021 authoriser: qit date authorisation: jul 2015
End_of_life_care/Documentation following death.pdf,2021-09-18,reviewed on: june  2019 next review :  september 2021  critical  care guidelines for critical care  use only | reviewed on: september 2018  next review :  september 2021 . | reviewed on: june  2019 next review :  september 2021  critical  care guidelines for critical care  use only | reviewed on: september 2018  next review :  september 2021 .
Drugs/zanamivir.pdf,2021-12-18,status draft/final:final review date: december 2021 authoriser: critical care qit editorial | status draft/final:final review date: december 2021 authoriser: critical care qit editorial
Routine_Care/bBraun Spaceplus Failure EMERGENCY ACTION CARD_em.pdf,2022-01-18,reviewed on: next review: 14th january 2022 emergency action card
Drugs/insulin.pdf,2022-03-18,status draft/final: final review date: march 2022 authoriser: lothian critical care qit editorial | status draft/final: final review date: march 2022 authoriser: lothian critical care qit editorial
Breathing(Respiratory)/Equipment/HFNO Set Up.pdf,2022-03-18,high flow nasal oxygen system – set up guidelines  – updated march 2020 – review march 2022 | high flow nasal oxygen system – set up guidelines  – updated march 2020 – review march 2022 | high flow nasal oxygen system – set up guidelines  – updated march 2020 – review march 2022 | high flow nasal oxygen system – set up guidelines  – updated march 2020 – review march 2022
Breathing(Respiratory)/Inhaled Nitrous Oxide.pdf,2022-04-18,status draft/final: draft  review date: april  2022 authoriser:  g mcneill date authorised : april 2020 | status draft/final: draft  review date: april  2022 authoriser:  g mcneill date authorised : april 2020
Breathing(Respiratory)/Equipment/APRV.pdf,2022-05-18,reviewed on:  may 2020 next review:  may 2022 .
Cardiovascular/Steroids for Septic Shock.pdf,2022-05-18,reviewed on:  may 2020  next review :  may 2022 . | review daily monitor for adverse effects | reviewed on:  may 2020  next review :  may 2022 .
Post_op_care/Epidural Haematoma.pdf,2022-06-18,next review date:  june 2022  management of a suspected epidural haematoma  | next review date:  june 2022  management of a suspected epidural haematoma  | next review date:  june 2022  management of a suspected epidural haematoma 
Breathing(Respiratory)/Equipment/T piece Y piece.pdf,2022-06-18,reviewed on:  june 2021  next review:  june 2022 .
Neurological/SOP for review of Neurosurgical patients in ITU by neurosurgical team.pdf,2022-06-18,sop for review of neurosurgical patients in itu by neurosurgi cal team -   june 2022  | middle grade daily review  | - review all emergency and elective neurosurgery patients including vasc ular patients daily including at the weekend | 4. all neurosurgical consultants to identify two times per week when they will review their itu patients (if they have any) so that it is predictable to itu when r eview will
