File,Review date
Drugs/vasopressin_sepsis.pdf,2023-05-03
Transfer/ACCP Transfers.pdf,2023-06-03
Covid-19/videos/Donning and Doffing Video.pdf,2023-06-03
Drugs/valproate.pdf,2023-06-03
Drugs/thiopentone.pdf,2023-06-03
Drugs/ketamine for status epilepticus.pdf,2023-06-03
Breathing(Respiratory)/Equipment/Ventilators Circuits Filters and Closed Suction - Set up and Maintenance.pdf,2023-07-03
Breathing(Respiratory)/CPAP.pdf,2023-07-03
Breathing(Respiratory)/Equipment/Bipap V60.pdf,2023-07-03
Drugs/piperacillin_tazobactam extended_infusion.pdf,2023-07-03
Infection_and_sepsis/Infection indications for IVIG.pdf,2023-07-03
Covid-19/Covid 19 Death Certification Guideline.pdf,2023-08-03
Procedures/CVC Guidance/Securing CVCs.pdf,2023-08-03
Routine_Care/Video Communication.pdf,2023-09-03
Neurological/Treatment of status epilepticus.pdf,2023-09-03
Cardiovascular/Cardiogenic Shock.pdf,2023-10-03
Drugs/isoprenaline.pdf,2023-10-03
Haematology_CAR-T/Haem_ICU_transfer.pdf,2024-01-03
Infection_and_sepsis/SARI/Influenza A and B Virology Sampling and Oseltamivir Dose.pdf,2024-01-18
Drugs/aminophylline.pdf,2024-02-03
Cardiovascular/Management of hypertension within Critical Care.pdf,2024-02-03
Cardiovascular/Central Venous Catheters - Guideline for Management of Misplacement.pdf,2024-02-12
Haematology_CAR-T/CRS.pdf,2024-03-03
Drugs/phenytoin.pdf,2024-03-03
Drugs/rocuronium.pdf,2024-03-03
Drugs/pancuronium.pdf,2024-03-03
Haematology_CAR-T/ICANS.pdf,2024-03-03
Drugs/nimodipine.pdf,2024-04-02
Policies_and_admin/General Critical Care SOP_pub.pdf,2024-04-03
Drugs/milrinone.pdf,2024-04-03
Organ_donation/Organ Retrieval SOP.pdf,2024-05-03
End_of_life_care/Withdrawal of invasive ventilation nursing guide MJB 050623-1.pdf,2024-05-03
Infection_and_sepsis/Trip Out of Unit infection guidance.pdf,2024-05-03
End_of_life_care/CMO & NRS Guidance for Doctors completing MCCD - Sept 22.pdf,2024-05-03
Drugs/clonidine.pdf,2024-05-03
Covid-19/COVID 19 ICM guidance basic goals_June_2022.pdf,2024-05-03
Neurological/Management of traumatic brain injury.pdf,2024-05-03
Ethics_and_Law/Care at the End of Life (FICM).pdf,2024-05-03
Ethics_and_Law/DNACPR policy for Scotland.pdf,2024-05-03
GI_Liver_and_Transplant/ICU - Upper GI bleeding (Endoscopy guideline).pdf,2024-05-03
Neurological/Critical Care MRI Procedure_pub.pdf,2024-05-03
Airway/Cook Staged Extubation Set.pdf,2024-06-02
End_of_life_care/Draft NHS Lothian Critical Care End of Life care Guidance Edited June 24th 2023 MIB 050623 (1)-1.pdf,2024-06-03
Drugs/noradrenaline (central).pdf,2024-06-03
Post_op_care/Epidural hypotension.pdf,2024-06-26
Drugs/dexmedetomidine.pdf,2024-07-03
Drugs/glyceryl_trinitrate.pdf,2024-07-03
GI_Liver_and_Transplant/Fulminant Liver Failure.pdf,2024-07-03
GI_Liver_and_Transplant/Confirmation of Nasogastric Tube Position.pdf,2024-07-03
Breathing(Respiratory)/Equipment/Passy Muir Valve.pdf,2024-07-03
Transfer/Transfer Outdoors to Garden Guideline.pdf,2024-08-03
Cardiovascular/Intra Aortic Balloon Pump Guideline_pub.pdf,2024-08-03
Cardiovascular/Intra Aortic Balloon Pump Bedside Checks_pub.pdf,2024-08-03
Breathing(Respiratory)/ARDS Strategy.pdf,2024-08-15
Drugs/dobutamine.pdf,2024-10-03
Drugs/adrenaline.pdf,2024-10-03
Drugs/hydralazine.pdf,2024-10-24
Post_op_care/Major OMFS Free Flap.pdf,2024-11-20
Drugs/alfentanil.pdf,2024-11-24
Drugs/magnesium.pdf,2024-12-24
Drugs/neostigmine.pdf,2025-01-03
Drugs/vancomycin.pdf,2025-01-03
Drugs/labetalol.pdf,2025-02-03
Drugs/alteplase for massive PE.pdf,2025-02-03
Infection_and_sepsis/Initial investigation and management in unidentified Infections.pdf,2025-02-03
Neurological/Intrathecal policy RIE feb 2023.1.pdf,2025-02-03
Cardiovascular/Management of Acute Type B Aortic Dissection Guideline.pdf,2025-03-03
Drugs/midazolam.pdf,2025-03-03
Procedures/CVC Guidance/CVC NHL  April 2023.pdf,2025-04-03
Drugs/potassium.pdf,2025-04-03
Drugs/salbutamol.pdf,2025-04-03
Procedures/Arterial Line insertion for ACCPs.pdf,2025-05-03
Drugs/amiodarone.pdf,2025-05-03
Routine_Care/ICU Eye Care Guideline.pdf,2025-05-03
Drugs/nicardipine.pdf,2025-05-03
Drugs/phenobarbitone.pdf,2025-05-03
Drugs/noradrenaline (peripheral).pdf,2025-06-03
Breathing(Respiratory)/Manual Ventilation and MHI.pdf,2025-06-03
Drugs/Epoprostenol.pdf,2025-06-03
Drugs/Morphine 2023 v3.pdf,2025-06-03
Neurological/Ventriculitis Guideline.pdf,2025-06-03
Drugs/Phenylephrine v4 Jun 2023.pdf,2025-06-03
Cardiovascular/Cardiac Output Monitoring_pub .pdf,2025-07-03
Cardiovascular/Pulmonary_Embolism_and_DVT/Catheter directed thrombolysis of iliofemoral DVT alteplase_pub.pdf,2025-07-03
Airway/Tracheostomy_Laryngectomy/Decannulation Guidline.pdf,2025-08-03
Procedures/Inadvertent Catheter Placement Guideline.pdf,2025-10-03
Breathing(Respiratory)/Proning Guideline.pdf,2026-01-03
Post_op_care/Prevention and treatment of paraplegia after major aortic procedures.pdf,2026-03-03
Procedures/ACCPs acquiring initial CVC competencies.pdf,2026-03-03
Procedures/ACCP CVC placement following completion of initial competencies.pdf,2026-03-03
Breathing(Respiratory)/Equipment/NIV Set up in Critical Care.pdf,2027-01-03
Transfer/Transfer Guidelines.pdf,2027-02-03
Post_op_care/Perioperative Care of the Transgender or Non-Binary Pateint.pdf,2028-07-03
