File,Review date
Breathing(Respiratory)/HFNO.pdf,2021-06-07
Drugs/ketamine_in_asthma.pdf,2021-06-07
GI_Liver_and_Transplant/Treatment of constipation.pdf,2021-06-07
GI_Liver_and_Transplant/Abdominal pressure measurement.pdf,2021-06-07
Neurological/Sub arachnoid haemorrhage management.pdf,2021-06-07
Airway/Tracheostomy_Laryngectomy/Tracheostomy safety box contents.pdf,2021-06-07
Airway/Anticipated difficult airway tool.pdf,2021-06-07
Airway/McGrath Mac.pdf,2021-06-07
End_of_life_care/Documentation following death.pdf,2021-09-07
GI_Liver_and_Transplant/stress ulcer prophylaxis.pdf,2021-12-07
Drugs/zanamivir.pdf,2021-12-07
Drugs/phosphate.pdf,2022-01-07
Routine_Care/bBraun Spaceplus Failure EMERGENCY ACTION CARD_em.pdf,2022-01-07
Breathing(Respiratory)/Equipment/HFNO Set Up.pdf,2022-03-07
Drugs/insulin.pdf,2022-03-07
Breathing(Respiratory)/Inhaled Nitrous Oxide.pdf,2022-04-07
Breathing(Respiratory)/Equipment/APRV.pdf,2022-05-07
Cardiovascular/Steroids for Septic Shock.pdf,2022-05-07
Neurological/SOP for review of Neurosurgical patients in ITU by neurosurgical team.pdf,2022-06-07
Post_op_care/Epidural Haematoma.pdf,2022-06-07
Breathing(Respiratory)/Equipment/T piece Y piece.pdf,2022-06-07
Drugs/atracurium.pdf,2022-07-07
Infection_and_sepsis/BAL and MiniBAL standardised procedure.pdf,2022-07-07
Policies_and_admin/General Critical Care Interaction with HEPMA_pub.pdf,2022-07-07
Drugs/midazolam and thiopental levels.pdf,2022-08-07
Drugs/all IV drug infusion information.pdf,2022-09-07
Breathing(Respiratory)/Equipment/HFNO through ventilator.pdf,2022-10-07
Post_op_care/Adult Scoliosis Spinal Surgery Post-Op Care.pdf,2022-11-07
Routine_Care/VTE_Prevention/Dalteparin_thromboprophylaxis.pdf,2022-11-07
Post_op_care/Post op care pharyngo-laryngo-oesphagectomy PLOG.pdf,2022-12-07
GI_Liver_and_Transplant/Nasogastric feeding protocol.pdf,2023-01-07
Infection_and_sepsis/SARI/Influenza A and B Virology Sampling and Oseltamivir Dose.pdf,2023-01-18
Diabetes_and_Glucose/Intravenous Insulin Therapy (not for DKA or HHS).pdf,2023-02-07
Drugs/Antibiotic doses in CVVHD.pdf,2023-02-07
Cardiovascular/Central Venous Catheters - Guideline for Management of Misplacement.pdf,2023-02-12
Drugs/nimodipine.pdf,2023-04-02
Drugs/calcium.pdf,2023-04-07
GI_Liver_and_Transplant/Nasojejunal feeding protocol.pdf,2023-04-07
GI_Liver_and_Transplant/Jejunostomy feeding protocol.pdf,2023-04-07
ECLS/RIE ECLS Anti Xa Protocol.pdf,2023-04-07
Covid-19/COVID 19 ICM guidance basic goals_June_2022.pdf,2023-05-07
Neurological/Management of traumatic brain injury.pdf,2023-05-07
Drugs/vasopressin_sepsis.pdf,2023-05-07
Neurological/Critical Care MRI Procedure_pub.pdf,2023-05-07
Drugs/vasopressin organ donation.pdf,2023-05-07
End_of_life_care/CMO & NRS Guidance for Doctors completing MCCD - Sept 22.pdf,2023-05-07
Ethics_and_Law/DNACPR policy for Scotland.pdf,2023-05-07
Ethics_and_Law/Care at the End of Life (FICM).pdf,2023-05-07
Organ_donation/Organ Retrieval SOP.pdf,2023-05-07
Infection_and_sepsis/Winter Infections Stepdown Guidance.pdf,2023-05-07
Infection_and_sepsis/Trip Out of Unit infection guidance.pdf,2023-05-07
GI_Liver_and_Transplant/ICU - Upper GI bleeding (Endoscopy guideline).pdf,2023-05-07
Airway/Cook Staged Extubation Set.pdf,2023-06-02
Covid-19/videos/Donning and Doffing Video.pdf,2023-06-07
Drugs/valproate.pdf,2023-06-07
Transfer/ACCP Transfers.pdf,2023-06-07
Drugs/ketamine for status epilepticus.pdf,2023-06-07
End_of_life_care/Withdrawal of invasive ventilation nursing guide MJB 050623-1.pdf,2023-06-07
End_of_life_care/Draft NHS Lothian Critical Care End of Life care Guidance Edited June 24th 2023 MIB 050623 (1)-1.pdf,2023-06-07
Drugs/thiopentone.pdf,2023-06-07
Post_op_care/Epidural hypotension.pdf,2023-06-26
Infection_and_sepsis/Infection indications for IVIG.pdf,2023-07-07
Breathing(Respiratory)/CPAP.pdf,2023-07-07
Breathing(Respiratory)/Equipment/Bipap V60.pdf,2023-07-07
Breathing(Respiratory)/Equipment/Ventilators Circuits Filters and Closed Suction - Set up and Maintenance.pdf,2023-07-07
Drugs/piperacillin_tazobactam extended_infusion.pdf,2023-07-07
Covid-19/Covid 19 Death Certification Guideline.pdf,2023-08-07
Transfer/Transfer Outdoors to Garden Guideline.pdf,2023-08-07
Procedures/Securing CVCs.pdf,2023-08-07
Breathing(Respiratory)/ARDS Strategy.pdf,2023-08-15
Neurological/Treatment of status epilepticus.pdf,2023-09-07
Routine_Care/Video Communication.pdf,2023-09-07
Drugs/isoprenaline.pdf,2023-10-07
Cardiovascular/Cardiogenic Shock.pdf,2023-10-07
Drugs/hydralazine.pdf,2023-10-24
Post_op_care/Major OMFS Free Flap.pdf,2023-11-20
Drugs/alfentanil.pdf,2023-11-24
Drugs/magnesium.pdf,2023-12-24
Haematology_CAR-T/Haem_ICU_transfer.pdf,2024-01-07
Drugs/aminophylline.pdf,2024-02-07
Cardiovascular/Management of hypertension within Critical Care.pdf,2024-02-07
Haematology_CAR-T/ICANS.pdf,2024-03-07
Haematology_CAR-T/CRS.pdf,2024-03-07
Drugs/phenytoin.pdf,2024-03-07
Drugs/pancuronium.pdf,2024-03-07
Drugs/rocuronium.pdf,2024-03-07
Policies_and_admin/General Critical Care SOP_pub.pdf,2024-04-07
Drugs/milrinone.pdf,2024-04-07
Drugs/clonidine.pdf,2024-05-07
Drugs/noradrenaline (central).pdf,2024-06-07
Breathing(Respiratory)/Equipment/Passy Muir Valve.pdf,2024-07-07
Drugs/glyceryl_trinitrate.pdf,2024-07-07
Drugs/dexmedetomidine.pdf,2024-07-07
GI_Liver_and_Transplant/Confirmation of Nasogastric Tube Position.pdf,2024-07-07
GI_Liver_and_Transplant/Fulminant Liver Failure.pdf,2024-07-07
Cardiovascular/Intra Aortic Balloon Pump Bedside Checks_pub.pdf,2024-08-07
Cardiovascular/Intra Aortic Balloon Pump Guideline_pub.pdf,2024-08-07
Drugs/adrenaline.pdf,2024-10-07
Drugs/dobutamine.pdf,2024-10-07
Drugs/neostigmine.pdf,2025-01-07
Drugs/vancomycin.pdf,2025-01-07
Neurological/Intrathecal policy RIE feb 2023.1.pdf,2025-02-07
Infection_and_sepsis/Initial investigation and management in unidentified Infections.pdf,2025-02-07
Drugs/labetalol.pdf,2025-02-07
Drugs/alteplase for massive PE.pdf,2025-02-07
Cardiovascular/Management of Acute Type B Aortic Dissection Guideline.pdf,2025-03-07
Drugs/midazolam.pdf,2025-03-07
Drugs/potassium.pdf,2025-04-07
Drugs/salbutamol.pdf,2025-04-07
Drugs/phenobarbitone.pdf,2025-05-07
Routine_Care/ICU Eye Care Guideline.pdf,2025-05-07
Drugs/nicardipine.pdf,2025-05-07
Procedures/Arterial Line insertion for ACCPs.pdf,2025-05-07
Drugs/amiodarone.pdf,2025-05-07
Breathing(Respiratory)/Manual Ventilation and MHI.pdf,2025-06-07
Drugs/Morphine 2023 v3.pdf,2025-06-07
Neurological/Ventriculitis Guideline.pdf,2025-06-07
Drugs/Phenylephrine v4 Jun 2023.pdf,2025-06-07
Drugs/noradrenaline (peripheral).pdf,2025-06-07
Drugs/Epoprostenol.pdf,2025-06-07
Cardiovascular/Pulmonary_Embolism_and_DVT/Catheter directed thrombolysis of iliofemoral DVT alteplase_pub.pdf,2025-07-07
Cardiovascular/Cardiac Output Monitoring_pub .pdf,2025-07-07
Airway/Tracheostomy_Laryngectomy/Decannulation Guidline.pdf,2025-08-07
Procedures/Inadvertent Catheter Placement Guideline.pdf,2025-10-07
Breathing(Respiratory)/Proning Guideline.pdf,2026-01-07
Post_op_care/Prevention and treatment of paraplegia after major aortic procedures.pdf,2026-03-07
Procedures/ACCP CVC placement following completion of initial competencies.pdf,2026-03-07
Procedures/ACCPs acquiring initial CVC competencies.pdf,2026-03-07
Breathing(Respiratory)/Equipment/NIV Set up in Critical Care.pdf,2027-01-07
Transfer/Transfer Guidelines.pdf,2027-02-07
Post_op_care/Perioperative Care of the Transgender or Non-Binary Pateint.pdf,2028-07-07
